Title,Url,ID
Garbanzo Quest,https://store.steampowered.com/app/2105910/Garbanzo_Quest/?snr=1_7_7_230_150_201,2105910
7th Legion,https://store.steampowered.com/app/327910/7th_Legion/?snr=1_7_7_230_150_201,327910
Raisond'etre,https://store.steampowered.com/app/1899800/Raisondetre/?snr=1_7_7_230_150_201,1899800
Knight Eternal,https://store.steampowered.com/app/1165180/Knight_Eternal/?snr=1_7_7_230_150_201,1165180
100 Worlds - Escape Room Game,https://store.steampowered.com/app/1491150/100_Worlds__Escape_Room_Game/?snr=1_7_7_230_150_201,1491150
DeMagnete VR,https://store.steampowered.com/app/995270/DeMagnete_VR/?snr=1_7_7_230_150_201,995270
Leap of Phase: Samantha,https://store.steampowered.com/app/1926390/Leap_of_Phase_Samantha/?snr=1_7_7_230_150_201,1926390
Starseed Pilgrim,https://store.steampowered.com/app/230980/Starseed_Pilgrim/?snr=1_7_7_230_150_201,230980
Where Thoughts Go,https://store.steampowered.com/app/846080/Where_Thoughts_Go/?snr=1_7_7_230_150_201,846080
IBIS AM,https://store.steampowered.com/app/2251540/IBIS_AM/?snr=1_7_7_230_150_201,2251540
Midnight Bike,https://store.steampowered.com/app/1401880/Midnight_Bike/?snr=1_7_7_230_150_201,1401880
Prodigious Avian,https://store.steampowered.com/app/2421380/Prodigious_Avian/?snr=1_7_7_230_150_201,2421380
Tactical Control,https://store.steampowered.com/app/1000540/Tactical_Control/?snr=1_7_7_230_150_201,1000540
Bunny Eureka,https://store.steampowered.com/app/2121910/Bunny_Eureka/?snr=1_7_7_230_150_201,2121910
Taphouse VR,https://store.steampowered.com/app/591680/Taphouse_VR/?snr=1_7_7_230_150_201,591680
Police Radar,https://store.steampowered.com/app/2109610/Police_Radar/?snr=1_7_7_230_150_201,2109610
Cellular Harvest,https://store.steampowered.com/app/1366420/Cellular_Harvest/?snr=1_7_7_230_150_201,1366420
Witchkin,https://store.steampowered.com/app/682170/Witchkin/?snr=1_7_7_230_150_201,682170
End of War 1945,https://store.steampowered.com/app/1191590/End_of_War_1945/?snr=1_7_7_230_150_201,1191590
Farm Kitten - Puzzle Pipes,https://store.steampowered.com/app/1721270/Farm_Kitten__Puzzle_Pipes/?snr=1_7_7_230_150_201,1721270
Bright Paw: Definitive Edition,https://store.steampowered.com/app/1361920/Bright_Paw_Definitive_Edition/?snr=1_7_7_230_150_201,1361920
HOLY QURAN VR EXPERİENCE,https://store.steampowered.com/app/1389070/HOLY_QURAN_VR_EXPERENCE/?snr=1_7_7_230_150_201,1389070
Sue Shi Survival,https://store.steampowered.com/app/2060670/Sue_Shi_Survival/?snr=1_7_7_230_150_201,2060670
Epic Palace : Knossos,https://store.steampowered.com/app/1421710/Epic_Palace__Knossos/?snr=1_7_7_230_150_201,1421710
Firefighters - Airport Heroes,https://store.steampowered.com/app/1278690/Firefighters__Airport_Heroes/?snr=1_7_7_230_150_201,1278690
Isle of Pan,https://store.steampowered.com/app/1050260/Isle_of_Pan/?snr=1_7_7_230_150_201,1050260
Sockventure,https://store.steampowered.com/app/1222340/Sockventure/?snr=1_7_7_230_150_201,1222340
MeiQi 2023,https://store.steampowered.com/app/2180430/MeiQi_2023/?snr=1_7_7_230_150_201,2180430
Streamer's Life,https://store.steampowered.com/app/1071940/Streamers_Life/?snr=1_7_7_230_150_201,1071940
Stereo Boy,https://store.steampowered.com/app/2073530/Stereo_Boy/?snr=1_7_7_230_150_201,2073530
Mystic Towers,https://store.steampowered.com/app/358220/Mystic_Towers/?snr=1_7_7_230_150_201,358220
Pixross,https://store.steampowered.com/app/1489680/Pixross/?snr=1_7_7_230_150_201,1489680
Gnome Jigsaw Puzzles,https://store.steampowered.com/app/1520250/Gnome_Jigsaw_Puzzles/?snr=1_7_7_230_150_201,1520250
Waifu Uncovered,https://store.steampowered.com/app/1197590/Waifu_Uncovered/?snr=1_7_7_230_150_201,1197590
Dragon Fantasy: The Volumes of Westeria,https://store.steampowered.com/app/327980/Dragon_Fantasy_The_Volumes_of_Westeria/?snr=1_7_7_230_150_201,327980
LOVE - A Puzzle Box Filled with Stories,https://store.steampowered.com/app/1239490/LOVE__A_Puzzle_Box_Filled_with_Stories/?snr=1_7_7_230_150_201,1239490
Chicken Labyrinth Puzzles,https://store.steampowered.com/app/635880/Chicken_Labyrinth_Puzzles/?snr=1_7_7_230_150_201,635880
OS:Path,https://store.steampowered.com/app/831090/OSPath/?snr=1_7_7_230_150_201,831090
Looterkings,https://store.steampowered.com/app/397310/Looterkings/?snr=1_7_7_230_150_201,397310
Once10,https://store.steampowered.com/app/1009950/Once10/?snr=1_7_7_230_150_201,1009950
Patterna,https://store.steampowered.com/app/503860/Patterna/?snr=1_7_7_230_150_201,503860
PixPhys,https://store.steampowered.com/app/1558100/PixPhys/?snr=1_7_7_230_150_201,1558100
YOLKED - The Egg Game,https://store.steampowered.com/app/1464010/YOLKED__The_Egg_Game/?snr=1_7_7_230_150_201,1464010
Red Stone Online,https://store.steampowered.com/app/350700/Red_Stone_Online/?snr=1_7_7_230_150_201,350700
Loot Hero DX,https://store.steampowered.com/app/294040/Loot_Hero_DX/?snr=1_7_7_230_150_201,294040
A Player's Heart,https://store.steampowered.com/app/1223390/A_Players_Heart/?snr=1_7_7_230_150_201,1223390
Railroad Pioneer,https://store.steampowered.com/app/306490/Railroad_Pioneer/?snr=1_7_7_230_150_201,306490
Puzzle Fever,https://store.steampowered.com/app/1727260/Puzzle_Fever/?snr=1_7_7_230_150_201,1727260
MotoGP™15,https://store.steampowered.com/app/355130/MotoGP15/?snr=1_7_7_230_150_201,355130
Summer Islands,https://store.steampowered.com/app/731650/Summer_Islands/?snr=1_7_7_230_150_201,731650
Tisnart Tiles,https://store.steampowered.com/app/398920/Tisnart_Tiles/?snr=1_7_7_230_150_201,398920
Gnomes & Goblins,https://store.steampowered.com/app/1157940/Gnomes__Goblins/?snr=1_7_7_230_150_201,1157940
"You, Calligrapher",https://store.steampowered.com/app/1593700/You_Calligrapher/?snr=1_7_7_230_150_201,1593700
Photo Studio,https://store.steampowered.com/app/1384390/Photo_Studio/?snr=1_7_7_230_150_201,1384390
The Ambassador: Fractured Timelines,https://store.steampowered.com/app/1171660/The_Ambassador_Fractured_Timelines/?snr=1_7_7_230_150_201,1171660
Platypus Adventures,https://store.steampowered.com/app/1719550/Platypus_Adventures/?snr=1_7_7_230_150_201,1719550
Emorrior,https://store.steampowered.com/app/1933070/Emorrior/?snr=1_7_7_230_150_201,1933070
The Cooking Game VR,https://store.steampowered.com/app/857180/The_Cooking_Game_VR/?snr=1_7_7_230_150_201,857180
Puzzle Battler! Mirai,https://store.steampowered.com/app/1213910/Puzzle_Battler_Mirai/?snr=1_7_7_230_150_201,1213910
里帰り | Satogaeri,https://store.steampowered.com/app/1781840/__Satogaeri/?snr=1_7_7_230_150_201,1781840
