Title,Url,ID
Beat Biome,https://store.steampowered.com/app/1506960/Beat_Biome/?snr=1_7_7_230_150_501,1506960
Criminal Pursuit Force,https://store.steampowered.com/app/942480/Criminal_Pursuit_Force/?snr=1_7_7_230_150_501,942480
Gang wars,https://store.steampowered.com/app/1511610/Gang_wars/?snr=1_7_7_230_150_501,1511610
Dark Harvest,https://store.steampowered.com/app/1633550/Dark_Harvest/?snr=1_7_7_230_150_501,1633550
MEKA SIGURAT,https://store.steampowered.com/app/2182540/MEKA_SIGURAT/?snr=1_7_7_230_150_501,2182540
Versus.,https://store.steampowered.com/app/1980440/Versus/?snr=1_7_7_230_150_501,1980440
Ukraine Defender,https://store.steampowered.com/app/1973090/Ukraine_Defender/?snr=1_7_7_230_150_501,1973090
Cairn Stone Balancing,https://store.steampowered.com/app/2137570/Cairn_Stone_Balancing/?snr=1_7_7_230_150_501,2137570
Panda Punch,https://store.steampowered.com/app/1798350/Panda_Punch/?snr=1_7_7_230_150_501,1798350
Brothers in Blood: WW2,https://store.steampowered.com/app/1270820/Brothers_in_Blood_WW2/?snr=1_7_7_230_150_501,1270820
My Dear Dad 父亲,https://store.steampowered.com/app/2366030/My_Dear_Dad/?snr=1_7_7_230_150_501,2366030
Myriavora,https://store.steampowered.com/app/1537980/Myriavora/?snr=1_7_7_230_150_501,1537980
Detective Solitaire The Ghost Agency,https://store.steampowered.com/app/1624910/Detective_Solitaire_The_Ghost_Agency/?snr=1_7_7_230_150_501,1624910
Clear The Train,https://store.steampowered.com/app/2469640/Clear_The_Train/?snr=1_7_7_230_150_501,2469640
アパシー学校であった怖い話 極,https://store.steampowered.com/app/2283710/_/?snr=1_7_7_230_150_501,2283710
Mouse adventure,https://store.steampowered.com/app/1639140/Mouse_adventure/?snr=1_7_7_230_150_501,1639140
logiCally,https://store.steampowered.com/app/1309890/logiCally/?snr=1_7_7_230_150_501,1309890
Iridium,https://store.steampowered.com/app/1014850/Iridium/?snr=1_7_7_230_150_501,1014850
Cellar,https://store.steampowered.com/app/1852600/Cellar/?snr=1_7_7_230_150_501,1852600
Dungeon Crawler,https://store.steampowered.com/app/1873960/Dungeon_Crawler/?snr=1_7_7_230_150_501,1873960
Choco Pixel 2,https://store.steampowered.com/app/1229590/Choco_Pixel_2/?snr=1_7_7_230_150_501,1229590
Choice of Zombies,https://store.steampowered.com/app/675180/Choice_of_Zombies/?snr=1_7_7_230_150_501,675180
Delta Squad,https://store.steampowered.com/app/1025430/Delta_Squad/?snr=1_7_7_230_150_501,1025430
Déjà Vu,https://store.steampowered.com/app/843710/Dj_Vu/?snr=1_7_7_230_150_501,843710
Terra Incognito - Antarctica 1911,https://store.steampowered.com/app/911420/Terra_Incognito__Antarctica_1911/?snr=1_7_7_230_150_501,911420
Mahjong Gold 2. Pirates Island,https://store.steampowered.com/app/1647490/Mahjong_Gold_2_Pirates_Island/?snr=1_7_7_230_150_501,1647490
Fairytale Mosaics Beauty And The Beast 2,https://store.steampowered.com/app/1495110/Fairytale_Mosaics_Beauty_And_The_Beast_2/?snr=1_7_7_230_150_501,1495110
AutoLand,https://store.steampowered.com/app/1384090/AutoLand/?snr=1_7_7_230_150_501,1384090
The Great,https://store.steampowered.com/app/2069680/The_Great/?snr=1_7_7_230_150_501,2069680
Isekai: Reincarnation in a New World,https://store.steampowered.com/app/1485860/Isekai_Reincarnation_in_a_New_World/?snr=1_7_7_230_150_501,1485860
Rebels - Under the Spell of Magic (Chapter 3),https://store.steampowered.com/app/2177640/Rebels__Under_the_Spell_of_Magic_Chapter_3/?snr=1_7_7_230_150_501,2177640
Egg King,https://store.steampowered.com/app/1790990/Egg_King/?snr=1_7_7_230_150_501,1790990
Zombies,https://store.steampowered.com/app/2149000/Zombies/?snr=1_7_7_230_150_501,2149000
Birth of Shadows®,https://store.steampowered.com/app/401170/Birth_of_Shadows/?snr=1_7_7_230_150_501,401170
Giant Life,https://store.steampowered.com/app/1081250/Giant_Life/?snr=1_7_7_230_150_501,1081250
Robinson Crusoe and the Cursed Pirates,https://store.steampowered.com/app/334480/Robinson_Crusoe_and_the_Cursed_Pirates/?snr=1_7_7_230_150_501,334480
Cute Fight,https://store.steampowered.com/app/2145750/Cute_Fight/?snr=1_7_7_230_150_501,2145750
Light Up the Holidays,https://store.steampowered.com/app/957850/Light_Up_the_Holidays/?snr=1_7_7_230_150_501,957850
Backpack Twins,https://store.steampowered.com/app/1049310/Backpack_Twins/?snr=1_7_7_230_150_501,1049310
Hidden Water,https://store.steampowered.com/app/1778460/Hidden_Water/?snr=1_7_7_230_150_501,1778460
Every day is more incredible than the previous,https://store.steampowered.com/app/1714730/Every_day_is_more_incredible_than_the_previous/?snr=1_7_7_230_150_501,1714730
Last Survivors,https://store.steampowered.com/app/2476820/Last_Survivors/?snr=1_7_7_230_150_501,2476820
Final Cut: Death on the Silver Screen Collector's Edition,https://store.steampowered.com/app/514740/Final_Cut_Death_on_the_Silver_Screen_Collectors_Edition/?snr=1_7_7_230_150_501,514740
○ △ □ -circle triangle square-,https://store.steampowered.com/app/2499760/___circle_triangle_square/?snr=1_7_7_230_150_501,2499760
Crescent Quest,https://store.steampowered.com/app/2421510/Crescent_Quest/?snr=1_7_7_230_150_501,2421510
"Jump, challenge 100 floors",https://store.steampowered.com/app/2385920/Jump_challenge_100_floors/?snr=1_7_7_230_150_501,2385920
THOSE DAMN ALIENS! VR,https://store.steampowered.com/app/573260/THOSE_DAMN_ALIENS_VR/?snr=1_7_7_230_150_501,573260
Manic Archers,https://store.steampowered.com/app/1521410/Manic_Archers/?snr=1_7_7_230_150_501,1521410
Caterpilla (Spectrum/VIC-20),https://store.steampowered.com/app/2244500/Caterpilla_SpectrumVIC20/?snr=1_7_7_230_150_501,2244500
Infinite Skyline: Superflight,https://store.steampowered.com/app/1111420/Infinite_Skyline_Superflight/?snr=1_7_7_230_150_501,1111420
Ava's Adventure,https://store.steampowered.com/app/2498160/Avas_Adventure/?snr=1_7_7_230_150_501,2498160
Metal Brigade Tactics,https://store.steampowered.com/app/906170/Metal_Brigade_Tactics/?snr=1_7_7_230_150_501,906170
Siphonophore,https://store.steampowered.com/app/1547420/Siphonophore/?snr=1_7_7_230_150_501,1547420
Lost & Round,https://store.steampowered.com/app/1447140/Lost__Round/?snr=1_7_7_230_150_501,1447140
Old Gods,https://store.steampowered.com/app/1726180/Old_Gods/?snr=1_7_7_230_150_501,1726180
Void Blitzing,https://store.steampowered.com/app/2239470/Void_Blitzing/?snr=1_7_7_230_150_501,2239470
Battledroid,https://store.steampowered.com/app/247710/Battledroid/?snr=1_7_7_230_150_501,247710
Space Hoarders Inc.,https://store.steampowered.com/app/1786620/Space_Hoarders_Inc/?snr=1_7_7_230_150_501,1786620
Runnyk,https://store.steampowered.com/app/1826410/Runnyk/?snr=1_7_7_230_150_501,1826410
Weather Lord: Following the Princess Collector's Edition,https://store.steampowered.com/app/456690/Weather_Lord_Following_the_Princess_Collectors_Edition/?snr=1_7_7_230_150_501,456690
Alien Earth,https://store.steampowered.com/app/1148390/Alien_Earth/?snr=1_7_7_230_150_501,1148390
Botanica: Earthbound Collector's Edition,https://store.steampowered.com/app/758610/Botanica_Earthbound_Collectors_Edition/?snr=1_7_7_230_150_501,758610
Amaranthine Voyage: The Tree of Life Collector's Edition,https://store.steampowered.com/app/554560/Amaranthine_Voyage_The_Tree_of_Life_Collectors_Edition/?snr=1_7_7_230_150_501,554560
Spacewing War,https://store.steampowered.com/app/1979470/Spacewing_War/?snr=1_7_7_230_150_501,1979470
The Soul Labyrinth,https://store.steampowered.com/app/1938550/The_Soul_Labyrinth/?snr=1_7_7_230_150_501,1938550
Faster Racer Boom Boom,https://store.steampowered.com/app/2293780/Faster_Racer_Boom_Boom/?snr=1_7_7_230_150_501,2293780
Senpai Teaches Me Japanese,https://store.steampowered.com/app/1037330/Senpai_Teaches_Me_Japanese/?snr=1_7_7_230_150_501,1037330
Zodiark Reform: Bandage Rewind,https://store.steampowered.com/app/2436440/Zodiark_Reform_Bandage_Rewind/?snr=1_7_7_230_150_501,2436440
Buildy Stacky 2,https://store.steampowered.com/app/2427640/Buildy_Stacky_2/?snr=1_7_7_230_150_501,2427640
PerformVR,https://store.steampowered.com/app/1868400/PerformVR/?snr=1_7_7_230_150_501,1868400
Mystery Solitaire. Dreamcatcher,https://store.steampowered.com/app/1263540/Mystery_Solitaire_Dreamcatcher/?snr=1_7_7_230_150_501,1263540
Murders in Space,https://store.steampowered.com/app/1255420/Murders_in_Space/?snr=1_7_7_230_150_501,1255420
Gods of Havoc: Into the Void,https://store.steampowered.com/app/1117340/Gods_of_Havoc_Into_the_Void/?snr=1_7_7_230_150_501,1117340
Age of Legion,https://store.steampowered.com/app/1551080/Age_of_Legion/?snr=1_7_7_230_150_501,1551080
Sigformation,https://store.steampowered.com/app/2287030/Sigformation/?snr=1_7_7_230_150_501,2287030
The Legend of Arcadieu 2,https://store.steampowered.com/app/1445110/The_Legend_of_Arcadieu_2/?snr=1_7_7_230_150_501,1445110
The Last Solver,https://store.steampowered.com/app/2175610/The_Last_Solver/?snr=1_7_7_230_150_501,2175610
Plants,https://store.steampowered.com/app/855730/Plants/?snr=1_7_7_230_150_501,855730
EscapeVr,https://store.steampowered.com/app/1350170/EscapeVr/?snr=1_7_7_230_150_501,1350170
Karvan,https://store.steampowered.com/app/1790840/Karvan/?snr=1_7_7_230_150_501,1790840
Shadow of Asha,https://store.steampowered.com/app/2007000/Shadow_of_Asha/?snr=1_7_7_230_150_501,2007000
Paradise Lost: FPS Cosmic Horror Game,https://store.steampowered.com/app/752030/Paradise_Lost_FPS_Cosmic_Horror_Game/?snr=1_7_7_230_150_501,752030
Ideal Nightmare,https://store.steampowered.com/app/2091730/Ideal_Nightmare/?snr=1_7_7_230_150_501,2091730
FirePuzzle - Save the House,https://store.steampowered.com/app/1806460/FirePuzzle__Save_the_House/?snr=1_7_7_230_150_501,1806460
Dice Roller VR,https://store.steampowered.com/app/2072620/Dice_Roller_VR/?snr=1_7_7_230_150_501,2072620
A Journey Through Valhalla,https://store.steampowered.com/app/763550/A_Journey_Through_Valhalla/?snr=1_7_7_230_150_501,763550
Monochrome World,https://store.steampowered.com/app/1183420/Monochrome_World/?snr=1_7_7_230_150_501,1183420
Between Two Stars,https://store.steampowered.com/app/1928190/Between_Two_Stars/?snr=1_7_7_230_150_501,1928190
Leviathan: An Interactive Comic Book,https://store.steampowered.com/app/2128390/Leviathan_An_Interactive_Comic_Book/?snr=1_7_7_230_150_501,2128390
Arena 54 - Visual Novel Action Adventure,https://store.steampowered.com/app/1698120/Arena_54__Visual_Novel_Action_Adventure/?snr=1_7_7_230_150_501,1698120
GraFi Valentine,https://store.steampowered.com/app/1237330/GraFi_Valentine/?snr=1_7_7_230_150_501,1237330
Myths of the World: Chinese Healer Collector's Edition,https://store.steampowered.com/app/551360/Myths_of_the_World_Chinese_Healer_Collectors_Edition/?snr=1_7_7_230_150_501,551360
My first Furry,https://store.steampowered.com/app/1717130/My_first_Furry/?snr=1_7_7_230_150_501,1717130
Bear Adventures 2,https://store.steampowered.com/app/1841850/Bear_Adventures_2/?snr=1_7_7_230_150_501,1841850
Chess Cubed,https://store.steampowered.com/app/762950/Chess_Cubed/?snr=1_7_7_230_150_501,762950
Sybil is Haunted,https://store.steampowered.com/app/2417300/Sybil_is_Haunted/?snr=1_7_7_230_150_501,2417300
Epic World,https://store.steampowered.com/app/1040910/Epic_World/?snr=1_7_7_230_150_501,1040910
Halloween Riddles Mysterious Griddlers,https://store.steampowered.com/app/1716210/Halloween_Riddles_Mysterious_Griddlers/?snr=1_7_7_230_150_501,1716210
Sands of Fire,https://store.steampowered.com/app/1568440/Sands_of_Fire/?snr=1_7_7_230_150_501,1568440
Holy Journey of Salvation,https://store.steampowered.com/app/1993730/Holy_Journey_of_Salvation/?snr=1_7_7_230_150_501,1993730
Ninja Ken,https://store.steampowered.com/app/1645870/Ninja_Ken/?snr=1_7_7_230_150_502,1645870
Outcasts of Dungeon:Epic Magic World Fight Rogue Game Simulator,https://store.steampowered.com/app/1941140/Outcasts_of_DungeonEpic_Magic_World_Fight_Rogue_Game_Simulator/?snr=1_7_7_230_150_502,1941140
Anark.io,https://store.steampowered.com/app/808120/Anarkio/?snr=1_7_7_230_150_502,808120
